name,type,lat,long
Wissahickon Valley Park,picnic table,40.0843288686737,-75.2293143719592
Wissahickon Valley Park,picnic table,40.084158835356,-75.2297427947861
Wissahickon Valley Park,picnic table,40.084799474881,-75.2298598724229
Wissahickon Valley Park,picnic table,40.0536189175878,-75.2250327026414
Wisters Woods Park,picnic table,40.0318107942365,-75.1547728551995
Wisters Woods Park,picnic table,40.032412198415,-75.1553975536461
Wisters Woods Park,picnic table,40.0333678629584,-75.1554827385965
Awbury Park and Recreation Center,picnic table,40.0522735793715,-75.1635558636865
Awbury Park and Recreation Center,picnic table,40.0523054730836,-75.1632760768893
Awbury Park and Recreation Center,picnic table,40.0519506670972,-75.1631710514703
Fisher Park,picnic table,40.043039975086,-75.1308776884963
Fisher Park,picnic table,40.042935452384,-75.1310908306058
Burholme Park,picnic table,40.0691872155977,-75.0892760923879
Burholme Park,picnic table,40.0694709115184,-75.0896943995852
Burholme Park,picnic table,40.0670571884748,-75.089218232259
Burholme Park,picnic table,40.0697029696979,-75.0912691599305
Burholme Park,picnic table,40.0699480774032,-75.0918654235669
Hunting Park,picnic table,40.016994153774,-75.1435389074749
Hunting Park,picnic table,40.0171145058627,-75.1433124317975
Hunting Park,picnic table,40.0169390781613,-75.1450887924268
Hunting Park,picnic table,40.017294609764,-75.1457818203419
Hunting Park,picnic table,40.0156204227346,-75.1445757954438
Hunting Park,picnic table,40.0158436628282,-75.1428815889494
West Fairmount Park,picnic table,39.9791567606119,-75.2071996717493
West Fairmount Park,picnic table,39.9789237131194,-75.2045653581925
Cobbs Creek Park,picnic table,39.917490800277,-75.2461454624268
Pennypack Park,picnic table,40.0866444430857,-75.0615911319565
Pennypack Park,picnic table,40.0874694738392,-75.0616275934773
Pennypack Park,picnic table,40.0499339680831,-75.0353336223084
Pennypack Park,picnic table,40.0497641555882,-75.035726380494
Pennypack Park,picnic table,40.0495407805471,-75.0366469042209
East Fairmount Park,picnic table,39.9820504987119,-75.1889924992479
Pennypack Park,picnic table,40.0499300486303,-75.0333789170769
Pennypack Park,picnic table,40.050302534928,-75.0331213555868
West Fairmount Park,picnic table,39.9905472311027,-75.2011589022653
East Fairmount Park,picnic table,39.9830820338243,-75.1889230833059
Joseph E Mander Playground,picnic table,39.9897701370613,-75.1892670380401
Joseph E Mander Playground,picnic table,39.99088912409,-75.1893456830608
Joseph E Mander Playground,picnic table,39.9918985428035,-75.1886337000252
Belmont Plateau,picnic table,39.9884033114648,-75.2142021370849
Belmont Plateau,picnic table,39.9888948785763,-75.2137914226086
Belmont Plateau,picnic table,39.9888382834191,-75.2142243843645
Belmont Plateau,picnic table,39.9884412078858,-75.2116521323299
Belmont Plateau,picnic table,39.988646966241,-75.2116228946679
Belmont Plateau,picnic table,39.9899059286041,-75.2134253785806
Cobbs Creek Park,picnic table,39.9373200128002,-75.2342006191888
Cobbs Creek Park,picnic table,39.9375758389508,-75.2342555007357
Whitby Avenue Playground,picnic table,39.9409819366088,-75.2379060095347
Whitby Avenue Playground,picnic table,39.9407461996703,-75.238001048526
